HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	IMAGING_ASSAY_TYPE	STAINING_METHOD	CHANNEL_METADATA_ID	EXPERIMENTAL_STRATEGY_AND_DATA_SUBTYPES	DE_IDENTIFICATION_METHOD_TYPE	DE_IDENTIFICATION_METHOD_DESCRIPTION	DE_IDENTIFIED	HAS_SLIDE_LABEL	SLIDE_LABEL_REDACTED	LICENSE	IMAGE_MODALITY	IMAGING_EQUIPMENT_MANUFACTURER	IMAGING_EQUIPMENT_MODEL	CITATION_OR_DOI	IMAGING_PROTOCOL	IMAGING_SOFTWARE	IMMERSION	OBJECTIVE	NOMINAL_MAGNIFICATION	LENS_NUMERICAL_APERTURE	WORKING_DISTANCE	PHYSICAL_SIZE_X	PHYSICAL_SIZE_Y	PHYSICAL_SIZE_Z	SIZE_X	SIZE_Y	SIZE_Z	SIZE_C	SIZE_T	PASSED_QC	QC_COMMENT	SPECIES	DE_IDENTIFICATION_SOFTWARE
HTA210_11_D11	HTA210_11_B11	image011.ome.tiff	ome-tiff	ExSeq	ExSeq	syn12340001	Pathological	Manual	Manual de-identification procedure	true	true	true	CC BY 4.0	SM	Zeiss	Axio Imager.Z2	https://doi.org/10.1234/example11	https://protocols.io/view/example11	ZEN Pro	Water	Plan-Apochromat 20x/0.8	20	0.8	0.55 um	0.325	0.325	1.0	13000	13000	1	8	1	true	No artifacts detected	9606 (Homo sapiens)	Manual PHI Tool
HTA211_12_D12	HTA211_12_B12	image012.ome.tf2	ome-tiff	MERFISH	MERFISH	syn12340002	Pathological	Automatic	Automated de-identification system	true	false		CC BY 4.0	SM	Nikon	Eclipse Ti2	https://doi.org/10.1234/example12	https://protocols.io/view/example12	NIS-Elements AR	Oil	CFI Plan Apo 40x/0.95	40	0.95	0.21 um	0.163	0.163	0.5	14000	14000	1	18	1	true	Quality metrics met	9606 (Homo sapiens)	AutoDeID System
HTA212_13_D13	HTA212_13_B13	image013.ome.tf8	ome-tiff	SABER	SABER	syn12340003	Pathological	Semiautomatic	Semi-automatic process used	true	true	true	CC BY 4.0	SM	Leica	SP8	https://doi.org/10.1234/example13	https://protocols.io/view/example13	LAS X Navigator	Oil	HC PL APO 63x/1.40	63	1.4	0.10 um	0.104	0.104	0.25	16000	16000	1	22	1	true	Excellent signal quality	9606 (Homo sapiens)	SemiAuto Tool
HTA213_14_D14	HTA213_14_B14	image014.ome.btf	ome-tiff	CyCIF	CyCIF	syn12340004	Pathological	Automatic	Automatic PHI removal	true	false		CC BY 4.0	SM	Olympus	FV3000	https://doi.org/10.1234/example14	https://protocols.io/view/example14	FluoView	Oil	UPLSAPO 30x/1.05	30	1.05	0.28 um	0.217	0.217	0.8	17000	17000	1	16	1	true	Good image quality	9606 (Homo sapiens)	AutoRemove PHI
HTA214_15_D15	HTA214_15_B15	image015.tif	tiff	t-CyCIF	t-CyCIF	syn12340005	Pathological	Manual	Manual scrubbing of identifiers	true	true	true	CC BY 4.0	SM	Hamamatsu	C13440	https://doi.org/10.1234/example15	https://protocols.io/view/example15	HCImage	Glycerol	Plan Apo 20x/0.75	20	0.75	0.60 um	0.325	0.325	1.0	19000	19000	1	14	1	true	Passed quality control	9606 (Homo sapiens)	Manual Scrubber
HTA215_16_D16	HTA215_16_B16	image016.tiff	tiff	H&E	H&E	syn12340006	Pathological	Semiautomatic	Semi-automated de-identification	true	false		CC BY 4.0	SM	Zeiss	Celldiscoverer 7	https://doi.org/10.1234/example16	https://protocols.io/view/example16	ZEN Blue	Air	Plan-Apochromat 10x/0.45	10	0.45	2.00 um	0.650	0.650	2.0	21000	21000	1	3	1	true	Standard quality	9606 (Homo sapiens)	SemiAuto DeID v2
HTA216_17_D17	HTA216_17_B17	image017.qptiff	qptiff	IHC	IHC	syn12340007	Pathological	Automatic	Automated identifier removal	true	true	true	CC BY 4.0	SM	Nikon	A1R HD25	https://doi.org/10.1234/example17	https://protocols.io/view/example17	NIS-Elements C	Water	CFI Plan Fluor 10x/0.30	10	0.3	16.0 um	0.650	0.650	2.0	22000	22000	1	5	1	true	Quality acceptable	9606 (Homo sapiens)	AutoID Remover
HTA217_18_D18	HTA217_18_B18	image018.svs	svs	mIHC	mIHC	syn12340008	Pathological	Manual	Manual de-identification by expert	true	false		CC BY 4.0	SM	Akoya	PhenoImager HT	https://doi.org/10.1234/example18	https://protocols.io/view/example18	inForm Software	Air	Standard Objective	20	0.75	0.55 um	0.325	0.325	1.0	23000	23000	1	28	1	true	All channels clear	9606 (Homo sapiens)	Expert DeID Tool
HTA218_19_D19	HTA218_19_B19	image019.ome.tif	ome-tiff	MxIF	MxIF	syn12340009	Pathological	Semiautomatic	Semiautomatic method applied	true	true	true	CC BY 4.0	SM	Leica	Thunder Imager	https://doi.org/10.1234/example19	https://protocols.io/view/example19	LAS X Lightning	Oil	HC PL APO 20x/0.75	20	0.75	0.60 um	0.325	0.325	1.0	24000	24000	1	24	1	true	Quality verified	9606 (Homo sapiens)	SemiAuto PHI Tool
HTA219_20_D20	HTA219_20_B20	image020.ome.tiff	ome-tiff	CODEX	CODEX	syn12340010	Pathological	Automatic	Automated de-identification workflow	true	false		CC BY 4.0	SM	Olympus	IX83	https://doi.org/10.1234/example20	https://protocols.io/view/example20	cellSens Dimension	Water	UPLSAPO 40x/0.95	40	0.95	0.18 um	0.163	0.163	0.5	25000	25000	1	32	1	true	Quality standards met	9606 (Homo sapiens)	AutoDeID Workflow
